管理番号,事業場名,営業所,変電所,線,電柱番号
6,唐津サービスステーション,唐津,唐津,水産,０２９ス８２１
11,障害者支援施設からつ学園,唐津,唐津,大良,０２８ヘ０８１
17,唐津砕石　鎮西工場,唐津,横竹,打上,０１９ハ９４１
18,マツキン醸造㈱,唐津,元石,鬼塚,０５７キ７５１
19,㈱岸本組,唐津,唐津,大良,０２６フ５４７
21,唐津市久里第２浄水場,,,,
28,有限会社　浦田勤石材,唐津,神田,竹木場,０８５ヒ５５２
31,㈲竹島産業,唐津,神田,旭が丘,０５６ヘ２２２
32,第一工場（エキス工場）,唐津,唐津,大島,０２９セ９０１
33,水産物残渣処理施設（フイッシュミール製造施設）,唐津,唐津,大島,０２９セ７１１
36,唐津水産センター　汚水処理場,唐津,唐津,大島,０３０サ０２１
51,家族亭あづま （あづま寿司）,唐津,元石,内町,０４０ツ６９３
52,株式会社イシモク,武雄,山代,楠久,４２９カ４５２
58,㈲山口工業,唐津,神田,竹木場,０８６ハ３５２
61,唐津市立七山小中学校,唐津,,,０６３ヒ１３３
69,七山公民館(七山市民センター含),,,,
71,製氷工場 (佐賀県玄海漁業協同組合),唐津,唐津,大島,０３０サ３９２
72,(社)佐賀県玄海栽培漁業協会,唐津,唐津,唐房,０１５フ４７５
73,本社工場(天生水産(株),唐津,唐津,藤崎,０２９ツ５３３
74,人権ふれあいセンター唐津,唐津,唐津,岩野,０２９タ７５２
75,唐津中部衛生処理センター,唐津,元石,和多田,０８８ヒ９３６
76,唐津市勤労青少年ホーム,唐津,唐津,岩野,０２９テ２６２
79,唐津市都市コミュニティセンター,唐津,元石,和多田,０５７キ１３２
80,玄海町庁舎　自家用,唐津,大鶴,値賀,０２６フ１４１
81,玄海町町民会館・社会体育館　自家用,唐津,大鶴,値賀,０２５フ０７１
85,ＦＡＳ,唐津,元石,城内,０５７ア４４１
87,サンエーストア,唐津,元石,内町,０６９ハ８１３
88,学校法人　コア学園,唐津,浜玉,砂子,０５７ヒ８８１
92,高島公民館,,,,
94,鬼塚公民館,唐津,徳須恵,山本,０８８ヒ５９３
95,大成公民館,唐津,神田,坊主町,０４０シ９４１
96,東唐津公民館,唐津,元石,栄町,０４１ツ１８１
97,神集島公民館,唐津,横竹,湊,１５０ハ９７２
98,長松公民館,唐津,神田,坊主町,０５６ア５６３
99,唐津城,唐津,元石,城内,０４１サ０４１
102,(株)福佐商会生コン事業部,唐津,元石,鬼塚,０５７シ９５２
108,山下医科器械㈱佐賀支社,佐賀,神野,上園,２３１ケ３５５
110,宮﨑鉄工株式会社,武雄,塩田,新町,５９４フ７３１
114,㈱栗原木材店,唐津,浜玉,鏡,０７５フ１１２
118,有限会社　ミクロン (H.19.10.1～再),武雄,塩田,美野,５９２ハ１８１
119,有限会社岸川絵具店,武雄,有田,古木場,４８０カ８８１
120,ミナノ精工㈱小城事業場,佐賀,東小城,織島,２１８ハ４７２
125,阿部養鶏場,福岡西,周船寺,遺跡,２６５ヘ６０１
126,㈱福岡フードサプライ,福岡西,深江,白糸,２９０ヒ８５１
127,サイエンスセンター（パウダー工場）,唐津,唐津,藤崎,０２９ツ３２１
129,フードセンター(天生水産(株),唐津,,,０２９ツ３２１
132,特別養護老人ホーム　歴史の里,福岡西,今宿,徳永,２２０ハ１６３
133,㈱乙姫水産,唐津,唐津,唐房,０２９イ５０１
135,創造空間株式会社（犬丸家具店）,久留米,木室,宮内,６９１ウ９５１
138,七山鳴神の丘運動公園,唐津,浜玉,七山,０６３ヒ５４１
149,山本選果場(ＪＡからつ),唐津,,,０８９フ２４２
157,天生水産(株)第三冷蔵庫,唐津,唐津,藤崎,０２９チ９１１
158,唐津市呼子市民センター,唐津,横竹,呼子,１４８テ６１２
161,唐津市立呼子小学校,唐津,横竹,朝市,００２フ３８５
163,唐津市呼子学校給食センター,唐津,横竹,呼子,００５ヒ３６２
164,唐津市呼子スポーツセンター町民グランド,唐津,,,０６６カ３３３
165,唐津市立小川小中学校,唐津,横竹,呼子,１５５ヒ２９１
168,切木支所プラザ,唐津,大鶴,切木,０６９ハ８２４
169,旧呼子支所,唐津,横竹,朝市,００５ヒ９３２
172,㈱大森工業,唐津,,,００６フ５１１
174,三菱ふそうﾄﾗｯｸ・ﾊﾞｽ㈱唐津支店,唐津,浜玉,松南,０５８ヘ８１３
176,唐津東部いちご集荷所 (ＪＡからつ),唐津,浜玉,横田,０７５ヘ１３２
178,（株）オーテック　本社工場,武雄,武雄,武内,５０４ヒ６８３
180,渚館きむら,唐津,元石,城内,０４０セ３５１
182,株式会社　ＮＩＰＰＯ　唐津合材工場,唐津,横竹,打上,０２０フ６２２
183,唐津市鎮西学校給食センター,唐津,,,０１２ヘ８６０
184,値賀第３コミュニティセンター,唐津,横竹,仮屋,０１６ヒ３８５
186,値賀第２コミュニティセンター,唐津,横竹,仮屋,０１６ヒ４７６
188,牟形コミュニティセンター,唐津,大鶴,値賀,０５１ハ６０２
189,有浦コミュニティセンター,唐津,横竹,打上,０２６フ１１１
190,仮屋コミュニティセンター,唐津,大鶴,値賀,０２４ヒ７９１
191,富士建設(株),武雄,白石,福田,５６９ツ６１１
192,藤井整形外科　(医療法人　透現),武雄,白石,福田,５６９ツ４１１
193,唐津市ひれふりランド,唐津,,,０４３サ９７２
195,唐津市立浜崎小学校,唐津,浜玉,砂子,０６０ア３５１
196,唐津市立平原小学校,唐津,浜玉,横田,０７８ヒ９５１
197,唐津市立玉島小学校,唐津,浜玉,七山,０６１ハ６３１
200,㈲三雲産業,福岡西,,,２６４へ８９２
205,森永整形外科,佐賀,鍋島,荻野,２３１サ７３３
209,松浦通運株式会社　事業本部,唐津,唐津,水産,０２９ス８０１
211,旅宿　よぶこ,唐津,横竹,呼子,００５ヒ１０２
213,唐津市久里第１浄水場,唐津,浜玉,鏡,０８９ヒ４６２
214,唐津市神田浄水場,唐津,神田,竹木場,０５５ヘ０５１
215,唐津市双水取水場,唐津,唐津,大島,０２９セ９０１
224,日本物産㈱,唐津,山代,大里,４３８フ７３２
225,㈲三栄木材,武雄,山代,大里,４３８フ７３２
226,西九州セイビ㈱,武雄,久原,松栄,４１８ア５１１
227,佐賀工場(西日本ﾌﾚｰﾐﾝｸﾞ㈱),武雄,久原,松栄,４８５フ１７２
254,㈱吉森,唐津,浜玉,七山,０６１ハ１４２
259,㈲熊抱鋼業,唐津,徳須恵,久里,０９９ヘ９２２
261,㈲寿美屋ドライ本社工場,唐津,元石,和多田,０７４ヘ４３１
264,野中製材所,武雄,伊万里,桃川,１３６ヘ６３２
267,ホテル宙,唐津,元石,長松,０５６ウ０６１
272,ケイワイクラフト,久留米,諸富,石塚,２７３ヒ４７５
273,大平山斎苑,唐津,,,０７２ヒ０４３
274,㈲山田家具資材,久留米,大川,上野,６６７チ２３１
275,成和公民館,唐津,神田,旭ヶ丘,０５７タ２０１
276,㈲立石ゴム,鳥栖,村田,東尾,３１２ア５０１
277,㈱長崎蒲正　伊万里センター,武雄,伊万里,西部,４３９シ１１１
282,㈲八戸製作所,鳥栖,上峰,防所,３５１ヒ８５２
283,フロムテック,,,,
284,株式会社　三川,鳥栖,上峰,寒水,３５６ハ７３４
285,石井外科クリニック,,,,
290,株式会社コーユービジネス　佐賀事業所（旧）九州コーユー,佐賀,鍋島,荻野,２３９ヒ２１１
291,前原ファミリーゴルフ練習場,福岡西,前原,波多江,２４０ク１１１
292,㈱岩田工業所,唐津,浜玉,松南,０５９ク９１１
293,東和コーポレーション佐賀工場,唐津,岩屋,浪瀬,１３１ハ８６３
295,玄海丸　姪浜店,福岡西,姪浜,福重,１９８セ６４１
296,アメニティきゅうらぎ,唐津,,,１３９ヒ３０１
298,シーサイド病院,福岡西,今宿,青木,１５０ヘ１５１
302,川添記念病院,福岡西,今宿,青木,１５０ヒ２９１
303,ＳＴＩエナック　福岡工場,福岡西,前原,雷山,２６２ヒ８８４
304,アイ・ティー・エスファーム㈱九州事業所（旧アイエッグファーム）,福岡西,今宿,青木,１２２ハ３３３
305,キョーワ（協和セメント工業）,福岡西,周船寺,遺跡,２４２ハ５６１
306,Ａコープ志摩店(JA糸島),福岡西,前原,志摩,１９２キ６４１
312,東部カントリーエレベーター(JA糸島),福岡西,周船寺,瑞梅寺,２４２ハ３２１
313,怡土支所(JA糸島),福岡西,周船寺,瑞梅寺,２４２ヒ０９３
314,特別養護老人ホーム　寿生苑,福岡西,今宿,桑原,１７２タ１７１
316,医療福祉専門学校緑生館（本館）,鳥栖,村田,西新,３００フ９８２
317,緑生館　学生寮,鳥栖,村田,西新,３００フ９９８
335,佐賀県黒髪少年自然の家,武雄,有田,三間坂,４６２ヘ８７１
342,佐賀県上場営農センター,唐津,横竹,打上,０１９ハ５５３
343,唐津市立海青中学校,,,,
348,内山電機㈱,佐賀,鍋島,扇町,２４１タ８８２
349,ＴＳＵＴＡＹＡ兵庫町店,佐賀,大財,伊賀屋,２３３チ６９１
350,藤友物流㈱伊万里工場,武雄,伊万里,松浦,１４２ス０５１
353,多久自動車学校,佐賀,東多久,東多久,３７７テ９４２
355,軽費老人ホーム　師吉荘,福岡西,竹下,朝日,２０４サ３８１
356,カステラ本家福砂屋　福岡支店,,,,
359,㈱ヨシケイ佐賀,佐賀,,高木瀬,２２６カ６５１
360,平野建設産業株式会社,唐津,神田,西寺,０４０チ７７２
363,西浦支所製氷工場,福岡西,周船寺,本岡,１２１ヒ３８１
364,西浦支所卸売市場,福岡西,周船寺,元岡,１２１ヒ３８３
366,唐泊支所,福岡西,今宿,青木,１２２ヘ５９２
367,唐泊支所加工場,福岡西,今宿,青木,１２２ヘ４９２
368,㈱高木プラスメタル,福岡西,前原,雷山,２６３ヒ８８３
369,軽費老人ホーム　玄洋荘,福岡西,今宿,桑原,１７２タ１７１
371,樋口コンクリート工業,福岡西,重留,西山,２９７カ３４１
373,大和スレート㈱　福岡工場,福岡西,今宿,桑原,１９６ア２６１
378,渡辺鉄工株式会社,久留米,千本杉,善導寺,５６２ケ３１１
384,福岡県漁連　加工場,福岡西,周船寺,元岡,１２１ヘ２１１
385,土井鉄工所,佐賀,神埼,仁比山,３４２フ１２３
386,楽市楽座　くりえいと宗像店,福間,赤間,須恵,０４２タ１１１
390,長崎荘,唐津,元石,城内,０４０ツ５２１
394,江口病院,佐賀,,,２３９ア６６１
395,JA糸島西部集荷場,福岡西,深江,白糸,２６２フ５２２
396,うわば資材センター(ＪＡからつ),唐津,横竹,打上,０２０ハ０４１
398,有限会社畑萬陶苑,武雄,立花,富士,４６１ヒ８９４
399,東和コーポレーション第８工場,唐津,岩屋,浪瀬,１３９ヒ２０１
404,まむしの湯,福岡西,深江配電塔,佐波,３１３ハ８７３
405,小友浄水センター（低圧）,,,,
410,特別養護老人ホーム　富の里,福岡西,前原,波多江,２４０ス６９１
411,本社工場(中里産業㈱),田川,香春,魚町,３４８ヒ６１４
412,宮原工場(中里産業㈱),田川,香春,向陽,３００ヒ２１１
414,伊万里セロリー㈱,武雄,山代,長浜,４２９フ８５３
415,宇木中間処理場 (㈱ナラタ),唐津,浜玉,横田,０９１ハ０８１
420,成瀬胃腸科内科クリニック,唐津,,,０５８フ４６４
421,㈲矢野コンクリート工業,福間,久保,高田,０８３フ６０２
422,イエローハットモンテ太陽　医大通店,佐賀,鍋島,森田,２３１ア３９１
423,イエローハットモンテ太陽　本庄店,佐賀,南佐賀,本庄,２５２ケ４１４
425,㈲藤山鉄工,佐賀,神崎,姉川,２３４イ０８１
428,(有)清力旅館,唐津,横竹,呼子,１４８テ３８１
431,太洋セツビ㈱（旧太洋マシナリー）,福岡西,前原,二丈,２６１ヒ４７４
432,太洋プラント㈱,福岡西,前原,二丈,２６１ヒ３７１
434,七山中央浄水センター,,,,
435,やすらぎ会館　（㈱ｼﾞｪｲｴｲいとしま）,福岡西,前原,産宮,２１７ク３７１
436,糸島農業協同組合（本店）,福岡西,前原,産の宮,２１７ス４０１
437,ＪＡ糸島　営農総合センター,,,,
438,ＪＡ糸島カントリーエレベーター(前原),福岡西,周船寺,野北,１９４フ０８３
439,志摩農産物集出荷貯蔵施設(JA糸島),福岡西,前原,志摩,１９２キ７１１
440,ＪＡポルタ,福岡西,前原,長糸,２１７タ８１１
441,唐津物流センター（㈱ﾏﾙﾊﾆﾁﾛ物流九州支社）,唐津,唐津,水産,０２９ス６９２
443,鳴神温泉ななのゆ,唐津,浜玉,七山,０６３ヒ５４３
444,世代間交流センター　やすらぎ荘,唐津,浜玉,横田,０６０フ８８４
445,グループホーム　富の里,福岡西,前原,波多江,２４０ス７９１
446,龍水園ホテル,佐賀,,,３６５ヘ４９３
447,㈱ヒカリ多久工場,佐賀,東多久,北多久,３７５キ１１１
450,浜玉斎場　さくら苑,唐津,浜玉,浜崎,１６３ヘ５８１
451,ＪＡ糸島　雷山支店,福岡西,周船寺,曽根,２４１タ７７１
454,㈱吉森　白石支店,武雄,白石,干拓,５７７フ９７５
455,あすか水産,佐賀,牛津,久富,２６８フ６３２
456,匠水産,佐賀,牛津,久富,２５９ヘ９７１
458,株式会社バニーズコーポレーション,佐賀,,,２１８ケ０１１
460,大輝水産,佐賀,牛津,久富,２６８フ７３６
462,岩谷産業㈱　佐賀ＬＰＧセンター,佐賀,久保泉,久保泉,２２２ヒ２４２
464,㈱武田健康堂,佐賀,神野,若宮,２３２シ０３２
467,油山福祉の里,,,,
468,あらいフードサービス（株）,福間,古賀,今在家,０８８ヒ１０７
472,佐賀営業所（昭和自動車㈱）,,,,
473,㈱キョーワ 東脊振営業所,佐賀,神埼,吉田,３３８ハ３２２
474,鳥栖営業所（㈱キョーワ）,鳥栖,曽根崎,坂井西,３０３キ３２２
475,大手町クリニック,久留米,東町,大手,５６１キ００２
482,福岡ガスセンター一般ガス工場(岩谷産業㈱),福岡東,亀山,国体,１８０キ４７２
484,福岡ガスセンターファインガス工場(岩谷産業㈱),福岡東,亀山,国体,１８０シ５１３
486,唐津市肥前市民センター,唐津,大鶴,入野,０４９ハ２８２
487,旧切木中学校,唐津,大鶴,切木,０６９ハ８１３
491,唐津市立北波多小学校,唐津,徳須恵,行合野,０９８ヘ６６１
492,唐津市立北波多中学校,唐津,徳須恵,行合野,０９８ヘ７４１
494,株式会社 キョーワ(伊万里）,武雄,山代,大里,４３７ヒ６１２
496,(有) 有明冷蔵庫,武雄,白石,須古,５８１ス７８１
498,TSUTAYA唐津店,唐津,元石,城内,０５７ア４３１
499,アグリＳＳ（㈱ｼﾞｪｲｴｲいとしま）,福岡西,前原,引津,２１６キ８３１
500,玄海町長倉浄水場,唐津,唐津,大良,０２６フ４４２
501,細渕電球㈱多久工場,佐賀,東多久,西多久,３７４テ０１１
503,㈲一番田舎,福岡西,前原,志摩,２１７イ４３１
505,㈱センエイ伊万里工場,武雄,久原,滑栄,４８５フ１４２
508,佐賀工場 (トリゼンフーズ㈱),佐賀,東多久,立山,３７６セ６３３
